ID,Drug,Biomarker,Num of Article,PMID
1,abacavir,HLA-B,86,30573342;29921043;29333460;28315856;27720019;27403179;29921043;28315856;27750332;32714190;29921043;28921647;28162244;27720019;27312955;31690398;29921043;28346841;31899808;27080842;30589990;29171940;28664942;28315856;27530904;27080842;32714190;32535895;324
2,amifampridine phosphate,NAT2,2,25692017;25692017
3,amifampridine,NAT2,2,25692017;25692017
4,amitriptyline,CYP2D6,4,31486733;32433340;30452773;31486733
5,amoxapine,CYP2D6,1,21826677
6,amphetamine,CYP2D6,2,31776871;31776871
7,aripiprazole lauroxil,CYP2D6,2,25266547;25266547
8,aripiprazole,CYP2D6,13,30565279;32845723;31520576;30771137;30565279;30771137;30648588;30604050;30565279;32845723;31520576;30648588;30604050
9,atomoxetine,CYP2D6,17,28860113;31776871;27052878;27040602;26859445;26660002;26666748;32712217;30801677;27052878;26859445;32184039;31776871;30120390;27040602;26660002;30120390
10,avatrombopag,CYP2C9,3,29905956;29905956;28339166
11,azathioprine,TPMT,18,32827393;32482022;32062783;31682552;31651720;31651720;32617765;32054992;32713039;32062783;31556692;31651720;32704308;32827393;32713039;31682552;31651720;32070863
12,azathioprine,NUDT15,19,32842934;32827393;32482022;32438538;32062783;31682552;31651720;31651720;32617765;32438538;32713039;32062783;31556692;31651720;32827393;32713039;32438538;31682552;31651720
13,boceprevir,IL28B,2,24691835;31914336
14,brexpiprazole,CYP2D6,3,28750151;32393428;28750151
15,brivaracetam,CYP2C19,3,24717838;27002062;24717838
16,carbamazepine,HLA-B,22,32457602;32180714;32100936;32099830;32180714;32714190;32100936;31690398;31899808;32100936;32099830;32714190;32535895;32180714;32099830;31899808;31690398;32714190;32180714;32099830;32055583;31690398
17,carbamazepine,HLA-A,12,32180714;32180714;32714190;31690398;32714190;32535895;32180714;31690398;32714190;32180714;32055583;31690398
18,carglumic acid,NAGS,2,31196016;21941437
19,cariprazine,CYP2D6,2,30281999;27440212
20,carisoprodol,CYP2C19,6,16021435;12835613;24488112;16021435;12835613;16021435
21,carvedilol,CYP2D6,9,29916290;29962926;29916290;29916290;29916290;28942006;29916290;28942006;28522373
22,cevimeline,CYP2D6,1,11725960
23,chloroquine,G6PD,2,32577690;32864162
24,citalopram,CYP2C19,32,31479720;30135031;32752034;32485484;31628858;30837869;30817183;32433340;31750550;31257122;30983508;30837874;30837869;30817183;30173302;30135031;30105921;31479720;30742590;32485484;31750550;31628858;31343441;31257122;30135031;30105921;31750550;31257122;309
25,citalopram,CYP2D6,14,32752034;32485484;30837869;32433340;31750550;30837869;30173302;30105921;32485484;32047265;31750550;30105921;31750550;30105921
26,clobazam,CYP2C19,15,30696292;24742983;32103958;30696292;26224203;23666564;22695038;22293514;32103958;31582605;30285275;29746397;25323806;24742983;27713373
27,clomipramine,CYP2D6,4,32433340;28470111;28470111;28470111
28,clopidogrel,CYP2C19,23,32764090;32392440;32029306;32472697;32100736;32752034;32527038;32472697;32343201;32713878;32702814;32376540;32320492;32862511;32282698;32267573;32862511;32759249;32723143;32546030;32266041;32100736;32029306
29,clozapine,CYP2D6,4,31453772;31616047;31616047;31453772
30,codeine,CYP2D6,17,31141989;31486733;30784356;32442101;32378749;31459022;30784356;30670877;30545525;32442101;32214840;32047265;31459022;31295464;31141989;32214840;31486733
31,daclatasvir,IL28B,1,31914336
32,desipramine,CYP2D6,17,22764579;32433340;31090092;27440861;23728524;29602316;24880753;23728524;23588782;22764579;31090092;27440861;25296725;24880753;23728524;23588782;23221858
